[2026-04-06 22:01:22] WARNING  | Detector | Prediction: Suspicious (score=45.06)
[2026-04-06 22:01:22] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:22] WARNING  | Detector | Prediction: Malicious (score=58.42)
[2026-04-06 22:01:22] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:22] WARNING  | Detector | Prediction: Suspicious (score=45.17)
[2026-04-06 22:01:22] INFO     | FlaskApp | Processed 25 traffic samples
[2026-04-06 22:01:24] INFO     | NetworkMonitor | Simulated 30 packets
[2026-04-06 22:01:24] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:24] WARNING  | Detector | Prediction: Suspicious (score=43.72)
[2026-04-06 22:01:24] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:24] WARNING  | Detector | Prediction: Suspicious (score=44.5)
[2026-04-06 22:01:24] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:24] WARNING  | Detector | Prediction: Suspicious (score=43.6)
[2026-04-06 22:01:24] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:24] WARNING  | Detector | Prediction: Suspicious (score=42.17)
[2026-04-06 22:01:24] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:24] WARNING  | Detector | Prediction: Suspicious (score=43.62)
[2026-04-06 22:01:24] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:24] WARNING  | Detector | Prediction: Suspicious (score=44.92)
[2026-04-06 22:01:24] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:24] WARNING  | Detector | Prediction: Suspicious (score=44.8)
[2026-04-06 22:01:24] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:24] WARNING  | Detector | Prediction: Suspicious (score=41.0)
[2026-04-06 22:01:24] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:24] WARNING  | Detector | Prediction: Malicious (score=58.98)
[2026-04-06 22:01:24] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:24] WARNING  | Detector | Prediction: Suspicious (score=49.35)
[2026-04-06 22:01:24] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:24] WARNING  | Detector | Prediction: Suspicious (score=42.2)
[2026-04-06 22:01:25] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:25] WARNING  | Detector | Prediction: Suspicious (score=47.49)
[2026-04-06 22:01:25] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:25] WARNING  | Detector | Prediction: Suspicious (score=43.93)
[2026-04-06 22:01:25] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:25] WARNING  | Detector | Prediction: Suspicious (score=41.89)
[2026-04-06 22:01:25] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:25] WARNING  | Detector | Prediction: Suspicious (score=48.05)
[2026-04-06 22:01:25] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:25] WARNING  | Detector | Prediction: Suspicious (score=44.57)
[2026-04-06 22:01:25] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:25] WARNING  | Detector | Prediction: Suspicious (score=45.85)
[2026-04-06 22:01:25] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:25] WARNING  | Detector | Prediction: Suspicious (score=45.67)
[2026-04-06 22:01:25] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:25] WARNING  | Detector | Prediction: Suspicious (score=44.27)
[2026-04-06 22:01:25] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:25] WARNING  | Detector | Prediction: Suspicious (score=44.16)
[2026-04-06 22:01:25] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:25] WARNING  | Detector | Prediction: Suspicious (score=44.05)
[2026-04-06 22:01:25] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:25] WARNING  | Detector | Prediction: Suspicious (score=45.63)
[2026-04-06 22:01:25] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:25] WARNING  | Detector | Prediction: Suspicious (score=42.89)
